"regional","regra"
26004,"(umid_max_2 > 96.6) | (umid_max_2 <= 96.6 & inc_3 <= 5.9 & umid_max_1 > 96.6) | (umid_max_2 <= 96.6 & inc_3 > 5.9)"
26005,"(inc_3 > 11.9 & umid_min_1 <= 30.3) | (inc_3 > 11.9 & umid_min_1 > 30.3)"
26007,"(umid_max_1 > 96.6 & temp_max_3 <= 31.9) | (umid_max_1 <= 96.6 & umid_max_1 > 92.5 & temp_min_3 <= 23.1)"
26002,"(inc_3 > 17.4) | (inc_3 <= 17.4 & umid_max_2 > 93.4)"
26011,"(inc_3 > 19.6 & umid_min_1 <= 55.3 & umid_max_2 <= 80) | (inc_3 > 19.6 & umid_min_1 <= 55.3 & umid_max_2 > 80) | (inc_3 > 19.6 & umid_min_1 > 55.3) | (inc_3 <= 19.6 & inc_3 > 1.2 & temp_max_2 > 28.8)"
26012,"(inc_3 > 0 & temp_min_2 <= 21.7)"
26006,"(inc_3 > 1.3) | (inc_3 <= 1.3 & inc_3 > 0.7)"
22004,"(inc_3 > 31.4 & temp_min_2 > 20 & umid_min_1 > 47.3) | (inc_3 > 31.4 & temp_min_2 <= 20 & temp_min_3 > 20.1) | (inc_3 <= 31.4 & inc_3 > 0 & temp_min_2 > 20.3) | (inc_3 > 31.4 & temp_min_2 > 20 & umid_min_1 <= 47.3)"
22005,"(temp_max_3 > 27.5 & inc_3 > 39.5 & temp_min_1 > 18.7) | (temp_max_3 > 27.5 & inc_3 <= 39.5 & inc_3 > 3.1) | (temp_max_3 <= 27.5 & temp_max_1 > 26 & umid_min_1 > 49.7)"
41018,"(inc_3 > 26.7 & temp_max_3 > 27.8 & umid_min_1 > 62.5) | (inc_3 > 26.7 & temp_max_3 > 27.8 & umid_min_1 <= 62.5) | (inc_3 > 26.7 & temp_max_3 <= 27.8 & temp_max_1 > 24.1) | (inc_3 <= 26.7 & inc_3 > 0 & temp_min_3 > 18.5)"
41011,"(inc_3 > 80.8 & temp_min_1 > 19.5 & temp_min_3 > 22.2) | (inc_3 > 80.8 & temp_min_1 > 19.5 & temp_min_3 <= 22.2) | (inc_3 <= 80.8 & inc_3 > 11.2 & temp_min_2 > 20.2) | (inc_3 > 80.8 & temp_min_1 <= 19.5 & umid_min_3 > 53.9)"
41012,"(temp_min_3 > 19.5 & umid_max_3 > 95.7) | (temp_min_3 <= 19.5 & temp_max_2 > 26.6 & umid_min_2 > 57.3) | (temp_min_3 > 19.5 & umid_max_3 <= 95.7 & inc_3 > 0)"
41014,"(inc_3 > 59 & temp_max_1 > 29.3 & temp_max_3 > 27.4) | (inc_3 > 59 & temp_max_1 <= 29.3 & temp_max_3 > 28.7) | (inc_3 <= 59 & inc_3 > 7 & temp_max_2 > 27.9) | (inc_3 > 59 & temp_max_1 <= 29.3 & temp_max_3 <= 28.7)"
41017,"(inc_3 > 29.2 & temp_max_3 > 27.6 & umid_min_1 > 64.9) | (inc_3 > 29.2 & temp_max_3 > 27.6 & umid_min_1 <= 64.9) | (inc_3 > 29.2 & temp_max_3 <= 27.6 & umid_min_3 > 59.7) | (inc_3 <= 29.2 & inc_3 > 0.9 & temp_min_3 > 20.9)"
41008,"(temp_min_3 > 19.3 & umid_max_3 > 89.4 & inc_3 > 9.6) | (temp_min_3 <= 19.3 & inc_3 > 10 & temp_min_1 > 19.7)"
41010,"(inc_3 > 17.9 & temp_min_2 > 14.6) | (inc_3 > 17.9 & temp_min_2 <= 14.6 & temp_min_1 > 13.5) | (inc_3 <= 17.9 & inc_3 > 3.2 & temp_min_2 > 18.8)"
41015,"(inc_3 > 14.1 & temp_min_2 > 19.3)"
41001,"(inc_3 > 56 & temp_max_3 > 27.7 & umid_max_1 > 79) | (inc_3 > 56 & temp_max_3 <= 27.7 & umid_min_3 > 59.7) | (inc_3 <= 56 & inc_3 > 0.7 & temp_min_2 > 19.5) | (inc_3 > 56 & temp_max_3 > 27.7 & umid_max_1 <= 79)"
41016,"(inc_3 > 27.9 & umid_min_1 > 65.4 & temp_max_1 > 28.1) | (inc_3 > 27.9 & umid_min_1 > 65.4 & temp_max_1 <= 28.1) | (inc_3 > 27.9 & umid_min_1 <= 65.4 & umid_min_3 > 61.2) | (inc_3 <= 27.9 & inc_3 > 0 & temp_min_3 > 20.3) | (inc_3 > 27.9 & umid_min_1 <= 65.4 & umid_min_3 <= 61.2)"
41020,"(inc_3 > 17.9 & temp_min_1 > 18.1 & umid_max_1 > 84.4)"
41019,"(temp_max_3 > 27.7 & umid_min_3 <= 48.9 & inc_3 > 111.7) | (temp_max_3 > 27.7 & umid_min_3 > 48.9) | (temp_max_3 <= 27.7 & temp_max_3 > 23.8 & umid_min_3 > 61.1)"
41013,"(inc_3 > 14 & temp_min_2 > 21)"
41009,"(temp_min_1 > 22.2 & inc_3 > 11) | (temp_min_1 > 22.2 & inc_3 <= 11 & inc_3 > 1.9) | (temp_min_1 <= 22.2 & inc_3 > 10.6 & temp_min_1 > 18.6)"
33001,"(temp_max_3 > 27.4 & inc_3 > 15.5 & temp_min_3 > 22.1) | (temp_max_3 > 27.4 & inc_3 > 15.5 & temp_min_3 <= 22.1) | (temp_max_3 > 27.4 & inc_3 <= 15.5 & inc_3 > 3.7)"
33007,"(temp_min_3 > 21 & inc_3 > 17.4 & temp_min_1 > 21.9) | (temp_min_3 <= 21 & inc_3 > 30.8 & temp_min_1 > 18.9) | (temp_min_3 > 21 & inc_3 > 17.4 & temp_min_1 <= 21.9) | (temp_min_3 > 21 & inc_3 <= 17.4 & inc_3 > 2.3)"
33002,"(inc_3 > 20.9 & temp_max_1 > 28) | (inc_3 <= 20.9 & inc_3 > 2.3 & temp_max_1 > 31) | (inc_3 > 20.9 & temp_max_1 <= 28) | (inc_3 <= 20.9 & inc_3 > 2.3 & temp_max_1 <= 31)"
33003,"(temp_max_2 > 30.1 & umid_min_2 > 56.9 & temp_max_3 > 32.4) | (temp_max_2 <= 30.1 & inc_3 > 18.1 & temp_min_1 > 22.4) | (temp_max_2 > 30.1 & umid_min_2 > 56.9 & temp_max_3 <= 32.4)"
33004,"(inc_3 > 18.6 & temp_min_3 > 24.3) | (inc_3 > 18.6 & temp_min_3 <= 24.3 & temp_min_3 > 23) | (inc_3 <= 18.6 & inc_3 > 2.2 & temp_min_3 > 23.5)"
33005,"(inc_3 > 30.7) | (inc_3 <= 30.7 & inc_3 > 9.2)"
33009,"(inc_3 > 8 & temp_min_3 <= 22.9 & inc_3 > 450.9) | (inc_3 > 8 & temp_min_3 > 22.9) | (inc_3 <= 8 & umid_max_1 > 96.3 & temp_min_1 > 24.1)"
33008,"(umid_max_1 > 99.1 & umid_max_2 > 98.7) | (umid_max_1 <= 99.1 & umid_max_1 > 91 & temp_min_1 > 25.4)"
33006,"(inc_3 > 16.2 & temp_min_2 > 23.9) | (inc_3 <= 16.2 & inc_3 > 2.3 & temp_min_3 > 23.9) | (inc_3 > 16.2 & temp_min_2 <= 23.9)"
24004,"(inc_3 > 44.5 & temp_min_3 > 23.2 & umid_min_1 > 57.5) | (inc_3 > 44.5 & temp_min_3 > 23.2 & umid_min_1 <= 57.5)"
24008,"(umid_min_1 > 61.4 & umid_max_3 <= 96.4 & inc_3 > 173.5) | (umid_min_1 > 61.4 & umid_max_3 > 96.4)"
24003,"(inc_3 > 9.1) | (inc_3 <= 9.1 & umid_min_1 > 79)"
24002,"(umid_max_1 > 97.4)"
24001,"(umid_min_2 > 77.9 & temp_min_3 <= 23.3) | (umid_min_2 <= 77.9 & inc_3 > 11.6)"
24005,"(umid_max_1 > 94)"
24007,"(umid_max_3 > 95.3 & temp_min_1 > 24.8)"
11005,"(inc_3 > 10.9 & temp_min_1 > 14.9) | (inc_3 <= 10.9 & inc_3 > 0.7 & temp_max_3 > 31.1) | (inc_3 <= 10.9 & inc_3 > 0.7 & temp_max_3 <= 31.1)"
11001,"(inc_3 <= 12.1 & inc_3 > 1.4 & temp_max_3 > 31.1) | (inc_3 > 12.1 & temp_min_1 > 17.5) | (inc_3 > 12.1 & temp_min_1 <= 17.5 & temp_min_2 > 17) | (inc_3 <= 12.1 & inc_3 > 1.4 & temp_max_3 <= 31.1) | (inc_3 <= 12.1 & inc_3 <= 1.4 & temp_max_1 > 31.3)"
11006,"(inc_3 > 4.7 & temp_max_2 > 25.1 & inc_3 <= 497.8) | (inc_3 > 4.7 & temp_max_2 > 25.1 & inc_3 > 497.8) | (inc_3 <= 4.7 & inc_3 > 0) | (inc_3 <= 4.7 & inc_3 <= 0 & temp_max_1 > 32)"
11002,"(inc_3 > 13.6 & temp_max_3 > 27) | (inc_3 > 13.6 & temp_max_3 <= 27 & temp_min_1 > 18.4) | (inc_3 <= 13.6 & inc_3 > 0.6 & umid_max_2 <= 85.3)"
11007,"(inc_3 <= 3.5 & inc_3 > 0.9 & temp_max_1 > 29.1) | (inc_3 > 3.5 & temp_max_3 > 24.4)"
11004,"(inc_3 > 1.4 & inc_3 > 142.3) | (inc_3 > 1.4 & inc_3 <= 142.3)"
11003,"(inc_3 > 7.4 & umid_min_3 > 65.5) | (inc_3 > 7.4 & umid_min_3 <= 65.5)"
14001,"(inc_3 > 20.9 & temp_min_2 <= 22.4) | (inc_3 <= 20.9 & inc_3 > 8.6 & umid_min_2 > 73.1) | (inc_3 > 20.9 & temp_min_2 > 22.4)"
43010,"(inc_3 > 59) | (inc_3 <= 59 & inc_3 > 1.9)"
43007,"(temp_min_2 <= 21.8 & inc_3 > 82.3 & temp_min_2 > 20.7) | (temp_min_2 > 21.8 & umid_max_2 > 77.4) | (temp_min_2 > 21.8 & umid_max_2 <= 77.4 & umid_min_1 > 70.6)"
43006,"(inc_3 > 53.9 & temp_max_1 > 29.8 & umid_min_1 > 50.4) | (inc_3 > 53.9 & temp_max_1 <= 29.8 & temp_max_2 > 32.2) | (inc_3 > 53.9 & temp_max_1 > 29.8 & umid_min_1 <= 50.4) | (inc_3 > 53.9 & temp_max_1 <= 29.8 & temp_max_2 <= 32.2) | (inc_3 <= 53.9 & inc_3 > 37.7)"
42011,"(inc_3 > 16.8 & temp_max_2 > 29.2) | (inc_3 > 16.8 & temp_max_2 <= 29.2 & temp_max_3 > 28) | (inc_3 <= 16.8 & inc_3 > 13.1) | (inc_3 > 16.8 & temp_max_2 <= 29.2 & temp_max_3 <= 28)"
42005,"(inc_3 > 27.5 & temp_max_2 > 27.3) | (inc_3 <= 27.5 & temp_min_1 > 20.8)"
28001,"(inc_3 > 6.1 & temp_max_2 > 29.3) | (inc_3 > 6.1 & temp_max_2 <= 29.3 & temp_max_3 > 29) | (inc_3 <= 6.1 & inc_3 > 0 & umid_max_3 > 99.1)"
28002,"(temp_max_3 <= 28.1 & inc_3 > 2.9 & temp_min_1 > 23.6) | (temp_max_3 > 28.1 & umid_min_3 > 56.8) | (temp_max_3 > 28.1 & umid_min_3 <= 56.8 & temp_max_2 > 31)"
28005,"(inc_3 > 6.4 & temp_max_1 <= 26.7 & temp_max_3 > 29.3) | (inc_3 > 6.4 & temp_max_1 > 26.7)"
28004,"(inc_3 > 9.8 & temp_min_1 > 20 & temp_min_3 > 22.3) | (inc_3 <= 9.8 & inc_3 > 0 & umid_min_2 > 74) | (inc_3 > 9.8 & temp_min_1 > 20 & temp_min_3 <= 22.3)"
35091,"(umid_max_1 <= 80.8 & inc_3 > 38.1 & temp_max_1 > 30.9) | (umid_max_1 > 80.8 & temp_max_1 > 26.6 & temp_min_1 > 18.7)"
35156,"(inc_3 > 6.2 & temp_max_3 > 30.3) | (inc_3 > 6.2 & temp_max_3 <= 30.3)"
35142,"(inc_3 > 0.8 & temp_max_3 > 27.6 & umid_max_3 > 69) | (inc_3 <= 0.8 & temp_max_1 > 26.3 & umid_min_3 > 79.4) | (inc_3 > 0.8 & temp_max_3 <= 27.6 & temp_min_3 > 19.9)"
35074,"(temp_max_2 > 26.9 & inc_3 > 17.9 & temp_min_3 > 18) | (temp_max_2 <= 26.9 & temp_max_1 > 26.5 & umid_max_1 > 95.9) | (temp_max_2 > 26.9 & inc_3 <= 17.9 & inc_3 > 5.3) | (temp_max_2 > 26.9 & inc_3 > 17.9 & temp_min_3 <= 18)"
35103,"(inc_3 > 50.2 & temp_max_2 > 28 & umid_max_2 > 72.6) | (inc_3 > 50.2 & temp_max_2 <= 28 & temp_min_1 > 23.7) | (inc_3 <= 50.2 & inc_3 > 10.5 & temp_min_1 > 22.6) | (inc_3 > 50.2 & temp_max_2 > 28 & umid_max_2 <= 72.6)"
35062,"(inc_3 <= 0 & temp_max_1 > 31.8 & temp_max_1 <= 32.1) | (inc_3 > 0 & temp_max_1 > 28 & temp_max_3 > 30.1) | (inc_3 > 0 & temp_max_1 <= 28 & temp_max_2 > 28.2) | (inc_3 > 0 & temp_max_1 > 28 & temp_max_3 <= 30.1)"
35161,"(temp_min_3 > 18.5 & inc_3 > 17 & temp_min_2 > 19.2) | (temp_min_3 > 18.5 & inc_3 > 17 & temp_min_2 <= 19.2) | (temp_min_3 > 18.5 & inc_3 <= 17 & inc_3 > 7.3)"
35112,"(inc_3 > 13.4 & umid_max_1 > 94.1 & umid_min_3 > 48.1) | (inc_3 <= 13.4 & temp_max_1 > 33.4 & umid_min_1 > 38.2) | (inc_3 > 13.4 & umid_max_1 <= 94.1 & temp_max_1 > 26.5)"
35051,"(inc_3 > 14.6 & temp_max_2 > 31.5 & inc_3 > 98.4) | (inc_3 <= 14.6 & umid_max_1 > 98.8 & temp_min_1 > 21.2) | (inc_3 > 14.6 & temp_max_2 > 31.5 & inc_3 <= 98.4) | (inc_3 > 14.6 & temp_max_2 <= 31.5 & umid_max_3 > 89.4)"
35133,"(inc_3 > 30.3 & temp_min_1 > 21.3 & umid_max_1 > 76.6) | (inc_3 > 30.3 & temp_min_1 > 21.3 & umid_max_1 <= 76.6) | (inc_3 > 30.3 & temp_min_1 <= 21.3 & temp_min_3 > 20.8)"
35023,"(inc_3 > 46.1 & temp_min_2 > 23.7) | (inc_3 > 46.1 & temp_min_2 <= 23.7) | (inc_3 <= 46.1 & inc_3 > 1.4 & temp_min_3 > 22.5)"
35163,"(inc_3 > 43.6 & temp_min_1 > 18.6 & temp_max_2 > 29.9) | (inc_3 > 43.6 & temp_min_1 <= 18.6 & temp_max_1 > 29.4) | (inc_3 > 43.6 & temp_min_1 > 18.6 & temp_max_2 <= 29.9) | (inc_3 <= 43.6 & inc_3 > 0 & temp_min_1 > 19.7)"
35157,"(inc_3 > 72.2 & temp_max_3 > 29.3) | (inc_3 > 72.2 & temp_max_3 <= 29.3 & temp_min_1 > 21.1) | (inc_3 <= 72.2 & inc_3 > 6.1 & temp_min_1 > 21.4)"
35093,"(temp_min_1 > 22.3 & inc_3 > 37.3) | (temp_min_1 > 22.3 & inc_3 <= 37.3 & inc_3 > 0)"
35072,"(inc_3 > 30.9 & temp_min_2 > 22.4) | (inc_3 > 30.9 & temp_min_2 <= 22.4) | (inc_3 <= 30.9 & umid_max_1 > 96.3)"
35031,"(inc_3 > 8.6 & temp_max_2 > 28.8) | (inc_3 > 8.6 & temp_max_2 <= 28.8 & umid_min_3 > 77.6)"
35104,"(temp_min_3 > 21.3 & inc_3 > 22.9 & temp_max_2 > 26.4) | (temp_min_3 <= 21.3 & temp_max_3 > 29 & inc_3 > 18.3) | (temp_min_3 > 21.3 & inc_3 <= 22.9 & temp_min_2 > 29.8)"
35022,"(inc_3 > 36 & temp_max_3 > 31.1) | (inc_3 <= 36 & umid_max_1 > 94.9 & temp_max_1 > 25.3) | (inc_3 > 36 & temp_max_3 <= 31.1 & temp_max_2 > 29.5)"
35063,"(temp_min_3 > 17.6 & inc_3 > 3.5 & umid_min_3 <= 62.1) | (temp_min_3 > 17.6 & inc_3 > 3.5 & umid_min_3 > 62.1)"
35172,"(inc_3 > 20 & temp_min_1 > 20.3 & temp_max_2 > 31.7) | (inc_3 > 20 & temp_min_1 > 20.3 & temp_max_2 <= 31.7) | (inc_3 <= 20 & inc_3 <= 3.8 & temp_min_2 > 29.1)"
35153,"(inc_3 > 16.7 & temp_min_3 > 18.4) | (inc_3 <= 16.7 & inc_3 > 0.6 & temp_min_3 > 19)"
35021,"(inc_3 > 45.6 & temp_max_1 > 29.3 & temp_min_2 > 20.9) | (inc_3 <= 45.6 & inc_3 > 23.1 & umid_max_1 > 91.4) | (inc_3 > 45.6 & temp_max_1 <= 29.3 & temp_max_2 > 29.3) | (inc_3 > 45.6 & temp_max_1 > 29.3 & temp_min_2 <= 20.9)"
35083,"(inc_3 > 12.1 & umid_max_2 > 84.7 & temp_max_2 > 28.9) | (inc_3 <= 12.1 & inc_3 > 2.8 & temp_max_3 > 29.5) | (inc_3 > 12.1 & umid_max_2 <= 84.7) | (inc_3 > 12.1 & umid_max_2 > 84.7 & temp_max_2 <= 28.9)"
35101,"(temp_min_2 > 21 & inc_3 > 11.4 & temp_max_1 > 28.3) | (temp_min_2 > 21 & inc_3 > 11.4 & temp_max_1 <= 28.3) | (temp_min_2 <= 21 & temp_max_1 <= 24.3 & inc_3 > 161.4) | (temp_min_2 <= 21 & temp_max_1 > 24.3 & temp_min_2 > 15.9)"
35095,"(inc_3 > 9.1 & temp_max_2 > 29.6) | (inc_3 > 9.1 & temp_max_2 <= 29.6 & temp_max_1 > 25.6)"
35151,"(temp_max_1 > 25 & temp_min_3 > 19.6 & inc_3 > 5.6) | (temp_max_1 > 25 & temp_min_3 <= 19.6 & temp_min_1 > 22.1)"
35011,"(inc_3 > 127.2) | (inc_3 <= 127.2 & inc_3 > 1.3 & temp_max_2 > 29.3)"
35092,"(inc_3 > 26.5 & umid_max_1 > 72.6 & temp_max_1 > 28.1) | (inc_3 <= 26.5 & inc_3 > 0 & temp_max_3 > 29.7) | (inc_3 > 26.5 & umid_max_1 > 72.6 & temp_max_1 <= 28.1)"
35071,"(temp_min_1 > 18.9 & inc_3 > 6.1 & umid_min_3 <= 64.4) | (temp_min_1 > 18.9 & inc_3 <= 6.1 & temp_max_1 > 33.4) | (temp_min_1 > 18.9 & inc_3 > 6.1 & umid_min_3 > 64.4)"
35155,"(inc_3 > 18.6 & temp_max_1 > 29.6) | (inc_3 > 18.6 & temp_max_1 <= 29.6)"
35064,"(inc_3 > 6 & temp_min_1 > 17.4 & temp_max_3 > 27.3) | (inc_3 <= 6 & temp_min_1 > 21.6) | (inc_3 > 6 & temp_min_1 > 17.4 & temp_max_3 <= 27.3)"
35121,"(inc_3 > 14.9 & temp_min_1 > 18.1) | (inc_3 <= 14.9 & inc_3 > 0.1 & temp_min_3 > 19.7)"
35131,"(inc_3 > 19.7 & temp_min_1 > 20.2) | (inc_3 <= 19.7 & inc_3 > 6.6 & temp_min_1 > 19.6) | (inc_3 > 19.7 & temp_min_1 <= 20.2 & temp_min_1 > 16.9) | (inc_3 > 19.7 & temp_min_1 <= 20.2 & temp_min_1 <= 16.9)"
35014,"(umid_max_2 > 79.6 & temp_min_2 > 22.3 & temp_max_1 > 31) | (umid_max_2 > 79.6 & temp_min_2 > 22.3 & temp_max_1 <= 31) | (umid_max_2 > 79.6 & temp_min_2 <= 22.3 & temp_min_3 > 22.4) | (umid_max_2 <= 79.6 & temp_max_2 > 32)"
35052,"(temp_max_3 > 26.8 & inc_3 > 11.8 & temp_min_1 > 19.1) | (temp_max_3 > 26.8 & inc_3 > 11.8 & temp_min_1 <= 19.1) | (temp_max_3 > 26.8 & inc_3 <= 11.8 & inc_3 > 3.4)"
35094,"(inc_3 > 6.8 & temp_max_1 > 27.9 & umid_max_1 > 90.1) | (inc_3 > 6.8 & temp_max_1 > 27.9 & umid_max_1 <= 90.1)"
35041,"(inc_3 > 2.1 & temp_min_2 > 18.8) | (inc_3 <= 2.1 & temp_min_2 > 20.1 & inc_3 > 0.3) | (inc_3 > 2.1 & temp_min_2 <= 18.8 & temp_max_1 > 31)"
35032,"(inc_3 <= 24.4 & inc_3 > 1.2 & umid_max_2 > 85.7) | (inc_3 > 24.4)"
35073,"(temp_min_2 > 18.8 & temp_max_1 > 24.2 & umid_min_1 > 52) | (temp_min_2 > 18.8 & temp_max_1 <= 24.2 & inc_3 > 62)"
35171,"(temp_min_3 <= 18.3 & inc_3 > 64.8 & temp_min_2 > 18.9) | (temp_min_3 > 18.3 & temp_max_3 > 28.9 & inc_3 > 20.3)"
35143,"(inc_3 > 3.3 & temp_min_1 > 18.3) | (inc_3 <= 3.3 & inc_3 > 1.6 & temp_max_3 > 30.6)"
35065,"(inc_3 > 13.6 & temp_min_1 > 18.1 & umid_max_2 > 85.1) | (inc_3 > 13.6 & temp_min_1 > 18.1 & umid_max_2 <= 85.1)"
35012,"(temp_min_3 > 19.2)"
35114,"(inc_3 <= 26.5 & inc_3 > 2.9 & temp_max_2 > 34.6) | (inc_3 > 26.5 & temp_max_2 > 30.8) | (inc_3 > 26.5 & temp_max_2 <= 30.8) | (inc_3 <= 26.5 & inc_3 <= 2.9 & temp_min_2 > 26.2)"
35174,"(inc_3 > 4.2 & temp_max_3 > 26.9 & umid_max_3 <= 87) | (inc_3 > 4.2 & temp_max_3 <= 26.9 & temp_max_2 > 27.9) | (inc_3 > 4.2 & temp_max_3 > 26.9 & umid_max_3 > 87) | (inc_3 <= 4.2 & temp_min_2 > 17.2 & inc_3 > 2.1)"
35033,"(temp_min_2 > 21.8 & umid_max_2 > 71.9 & inc_3 > 48)"
35173,"(temp_min_2 > 22.3 & inc_3 > 71.3 & temp_max_2 > 30.2) | (temp_min_2 <= 22.3 & inc_3 > 78.1 & umid_max_2 <= 65) | (temp_min_2 > 22.3 & inc_3 > 71.3 & temp_max_2 <= 30.2) | (temp_min_2 > 22.3 & inc_3 <= 71.3 & umid_max_2 > 77.2)"
35102,"(inc_3 > 85.8 & temp_min_1 > 19.1) | (inc_3 <= 85.8 & inc_3 > 10.9 & temp_min_3 > 20.8)"
35013,"(inc_3 > 21.1 & temp_min_1 > 29.3) | (inc_3 <= 21.1 & temp_min_2 <= 29.8 & temp_min_3 > 28.8) | (inc_3 <= 21.1 & temp_min_2 > 29.8) | (inc_3 > 21.1 & temp_min_1 <= 29.3)"
35132,"(inc_3 > 40.1 & temp_max_1 > 30.5) | (inc_3 <= 40.1 & inc_3 > 16.7 & temp_max_1 > 30.3) | (inc_3 > 40.1 & temp_max_1 <= 30.5)"
35081,"(temp_min_1 > 21.5 & temp_max_1 > 30.5) | (temp_min_1 <= 21.5 & temp_min_3 > 17.3 & inc_3 > 42.5)"
35034,"(temp_max_1 > 27.5)"
35015,"(temp_min_1 > 16.9 & umid_max_1 > 86.9 & temp_min_2 > 17.8)"
35111,"(inc_3 > 0)"
35154,"(inc_3 > 0 & umid_min_1 <= 40.8 & inc_3 > 250.9) | (inc_3 > 0 & umid_min_1 > 40.8)"
35115,"(inc_3 > 19.6)"
35113,NA
35082,NA
35141,NA
35152,NA
35016,NA
17007,NA
17006,NA
17001,NA
