"regional","regra"
23014,"(umid_max_3 <= 93.3 & temp_max_2 > 38.7) | (umid_max_3 <= 93.3 & temp_max_2 <= 38.7 & inc_3 > 15.2) | (umid_max_3 > 93.3)"
23011,"(inc_3 > 10.8 & umid_min_1 > 43.9 & umid_max_1 > 90.9) | (inc_3 <= 10.8 & inc_3 > 0 & umid_min_1 > 65.2) | (inc_3 > 10.8 & umid_min_1 <= 43.9 & umid_min_2 > 33.6)"
23020,"(inc_3 > 15.5 & umid_max_1 > 96.6) | (inc_3 > 15.5 & umid_max_1 <= 96.6 & temp_min_1 > 28) | (inc_3 <= 15.5 & inc_3 > 0 & umid_max_2 > 95.1) | (inc_3 > 15.5 & umid_max_1 <= 96.6 & temp_min_1 <= 28)"
23010,"(inc_3 > 26.7 & umid_max_1 > 88) | (inc_3 > 26.7 & umid_max_1 <= 88)"
23006,"(inc_3 > 0 & umid_max_2 > 82.7 & temp_min_2 > 26.1)"
23002,"(inc_3 > 7.7 & temp_min_1 > 27.7 & umid_max_1 > 78.7) | (inc_3 > 7.7 & temp_min_1 > 27.7 & umid_max_1 <= 78.7) | (inc_3 > 7.7 & temp_min_1 <= 27.7 & umid_max_1 > 84.6)"
23001,"(temp_min_2 > 26.2 & umid_max_3 > 71.9 & inc_3 > 5.6)"
23007,"(inc_3 > 17.3)"
23004,"(inc_3 > 183.6) | (inc_3 <= 183.6 & umid_max_1 > 92.6)"
23015,"(inc_3 > 9.1 & umid_min_2 <= 61.7 & temp_max_3 <= 24.9) | (inc_3 > 9.1 & umid_min_2 > 61.7) | (inc_3 > 9.1 & umid_min_2 <= 61.7 & temp_max_3 > 24.9)"
23017,"(inc_3 > 27.9)"
23008,"(umid_max_3 > 78.2 & inc_3 > 1.1 & umid_min_1 > 54.7) | (umid_max_3 <= 78.2 & inc_3 > 39.3)"
23021,"(umid_max_2 <= 93.4 & inc_3 > 3.7 & temp_max_3 > 33.1) | (umid_max_2 > 93.4)"
23016,"(inc_3 > 3.1 & umid_min_1 > 80) | (inc_3 > 3.1 & umid_min_1 <= 80)"
23022,"(umid_max_1 > 80.3 & inc_3 > 5.6 & umid_min_1 > 66) | (umid_max_1 > 80.3 & inc_3 > 5.6 & umid_min_1 <= 66)"
23005,"(inc_3 > 1.8 & umid_max_1 > 88.9) | (inc_3 > 1.8 & umid_max_1 <= 88.9)"
23013,"(inc_3 > 15.9)"
23009,"(umid_max_3 > 99.1) | (umid_max_3 <= 99.1 & inc_3 > 11.3 & umid_max_2 > 81.2)"
53001,"(umid_max_3 > 88.9 & inc_3 > 4.3 & temp_min_1 > 16.9)"
32002,"(inc_3 > 9.2 & temp_min_1 > 23.9 & temp_max_1 > 30.1) | (inc_3 > 9.2 & temp_min_1 <= 23.9 & temp_min_2 > 21.2) | (inc_3 > 9.2 & temp_min_1 > 23.9 & temp_max_1 <= 30.1) | (inc_3 <= 9.2 & inc_3 > 0 & temp_min_3 > 22.3) | (temp_max_3 > 29.4 & inc_3 > 8.8 & temp_min_3 > 23)"
32001,"(inc_3 > 24.2) | (inc_3 <= 24.2 & inc_3 > 7.7 & temp_min_3 > 21.8) | (inc_3 > 0 & temp_min_1 > 19.3 & temp_max_2 > 27.6) | (inc_3 <= 0 & temp_min_3 > 20.9 & umid_min_1 <= 31.4) | (umid_min_3 > 79 & temp_max_1 <= 30.2) | (umid_min_3 <= 79 & inc_3 > 34.6)"
32003,"(inc_3 > 0 & temp_min_1 > 22) | (temp_min_3 > 21.2 & inc_3 > 5)"
